symbol,date,open,high,low,close,volume
GXH.NZ,2023-07-07,1.38,1.38,1.38,1.38,1892
GXH.NZ,2023-07-10,1.38,1.38,1.38,1.38,18239
GXH.NZ,2023-07-11,1.37,1.37,1.36,1.36,14122
GXH.NZ,2023-07-12,1.38,1.38,1.36,1.36,2927
GXH.NZ,2023-07-13,1.36,1.38,1.36,1.38,758
GXH.NZ,2023-07-17,1.38,1.38,1.38,1.38,5755
GXH.NZ,2023-07-18,1.38,1.38,1.34,1.34,4613
GXH.NZ,2023-07-19,1.34,1.34,1.34,1.34,2146
GXH.NZ,2023-07-20,1.34,1.34,1.34,1.34,4722
GXH.NZ,2023-07-21,1.34,1.34,1.32,1.33,36177
GXH.NZ,2023-07-24,1.33,1.33,1.32,1.32,16744
GXH.NZ,2023-07-25,1.33,1.33,1.32,1.33,10142
GXH.NZ,2023-07-26,1.33,1.33,1.33,1.33,953
GXH.NZ,2023-07-27,1.33,1.33,1.32,1.33,8413
GXH.NZ,2023-07-28,1.33,1.33,1.33,1.33,7281
GXH.NZ,2023-07-31,1.32,1.33,1.32,1.33,6103
GXH.NZ,2023-08-01,1.35,1.35,1.35,1.35,6792
GXH.NZ,2023-08-02,1.35,1.35,1.34,1.34,6496
GXH.NZ,2023-08-03,1.35,1.35,1.34,1.34,7180
GXH.NZ,2023-08-04,1.35,1.35,1.35,1.35,12833
GXH.NZ,2023-08-07,1.35,1.35,1.3,1.35,69265
GXH.NZ,2023-08-08,1.36,1.36,1.33,1.33,10287
GXH.NZ,2023-08-09,1.3,1.34,1.3,1.31,3761
GXH.NZ,2023-08-10,1.31,1.32,1.31,1.32,6147
GXH.NZ,2023-08-11,1.32,1.32,1.31,1.31,30602
GXH.NZ,2023-08-14,1.34,1.34,1.34,1.34,9178
GXH.NZ,2023-08-15,1.35,1.35,1.35,1.35,2290
GXH.NZ,2023-08-16,1.35,1.35,1.35,1.35,1349
GXH.NZ,2023-08-17,1.34,1.34,1.3,1.3,25150
GXH.NZ,2023-08-18,1.31,1.31,1.3,1.3,20054
GXH.NZ,2023-08-21,1.3,1.3,1.29,1.29,6742
GXH.NZ,2023-08-22,1.3,1.3,1.29,1.29,17020
GXH.NZ,2023-08-23,1.29,1.29,1.29,1.29,3814
GXH.NZ,2023-08-24,1.28,1.3,1.28,1.3,22999
GXH.NZ,2023-08-25,1.3,1.3,1.28,1.3,14545
GXH.NZ,2023-08-28,1.3,1.3,1.28,1.3,6160
GXH.NZ,2023-08-29,1.3,1.3,1.3,1.3,2339
GXH.NZ,2023-08-30,1.3,1.3,1.3,1.3,3167
GXH.NZ,2023-08-31,1.3,1.3,1.3,1.3,2525
GXH.NZ,2023-09-01,1.29,1.3,1.29,1.3,1519
GXH.NZ,2023-09-04,1.29,1.3,1.29,1.29,2896
GXH.NZ,2023-09-05,1.3,1.3,1.29,1.29,3226
GXH.NZ,2023-09-06,1.3,1.3,1.3,1.3,4958
